,Unnamed: 0,date,developerResponse,review,rating,isEdited,title
0,0,2023-09-16 13:41:09,"{'id': 38977446, 'body': '안녕하세요, 쿠팡이츠 입니다.\r\n\r\n고객님께서는 쿠팡이츠를 이용하시며 맛있는 음식이 배달되어 즐거운 식사가 되길 기대하였을텐데 배달 지연으로 인하여 불편을 드리게 되어 대단히 송구스럽습니다.\r\n\r\n말씀하여 주신 배달지연이 발생된 원인에 대하여 내부 담당부서와의 논의를 통해 보다 만족스러운 배달이 이루어질 수 있는 방향에 대해 고민하겠습니다. \r\n\r\n다시 한번 이용에 불편을 드려 죄송합니다. \r\n\r\n감사합니다.\r\n\r\n- 쿠팡이츠 드림 - ', 'modified': '2023-09-18T08:46:54Z'}","진짜진짜 너무 음침하고 짜증나요💢💢💢💢💢💢
배달 지연 돼도 어쩔건데요 어짜피 기다릴건데 기분 나쁘고 말지 당장 취소할수있는것도 아니고
처음에 설정된 시간 거의 다 됐는데 조용한것같아서 들어가보면 슬쩍 시간 바꿔놓고 티도 안내고 … 그냥 좀 더 기다리라고 알림이라도 띄워주는게 그렇게 어렵나요 …
배달지연 진짜 오래걸릴때만 지연된다고 알려주고 …
한 30분 정도는 시간도 아니다 이건가요 소비자 배려 전혀 안하는것같아서 너무 너무 짜증나요 머니 충전해놓은거만 다 쓰면 삭제할래요 !!!!!!!!💢💢💢",5,False,배달지연될때 슬쩍 시간 올리는거 너무 짜증나고 화나요
1,1,2022-01-22 05:58:37,,빨리 보였으면 하는 맘에 마음속으로는 별 1도 아깝습니당!! 어플 사용 돌아서는 거 한순간이라고 20-30분씩 몇 번이나 연장 되었는지 모릅니다ㅠㅠ 으휴 정말… 맛있는 식당에서 음식 시켜 주말에 먹고 싶었을뿐인데 2시간 이상 기다렸고 첫번째 상담사는 상황을 이상하게 말해서 기다리게 하고 두번째 상담사는 상황을 정확하게 확인 시켜준 담에 주문 취소 할지 재주문 할지 고르라고 해서 뭘 시켜도 또 기다려야하니 재주문 했더니 또 20-30분씩 연장돼서 식당에 전화 했더니 음식 만들어서 파트너 기다리고 계셨대요ㅠㅠㅠ 다시 쿠팡이츠 전화해서 모두의 잘못이 아니나 시스템과 정확한 응대가 되지 않고 매칭도 이상해서 버려진 시간 어떻게 보상 할거냐 하니 5천원 쿠폰 준다고 해놓고도 3천원 주네요 쿠폰 그게 뭐라고….. 사람을 기분 상하게 하네요 그지도 아니고 쿠폰 그거 안쓰고 말지요~~ 식당 사장님도 쿠팡 시스템때문에 요리도 두번이나 만드시고 상담사님들 배달원님도 모두 그리고 돈내고 음식시킨 저까지 주말에 이게 뭐죠?? 짜증나서 삭제 했습니다! 쿠팡이랑 쿠팡 플레이도 가능하면 삭제하고 싶은데 이 두개는 삭제하기엔 너무 자주 쓰게되네요ㅠㅠ 치타 배달도 옛말인 거 같고 지도보면 집이랑 반대 방향도 들렀다 오는 거 같고 이제 ㅂㅁ으로 시켜 먹을거예요!!,5,False,쿠팡이츠 삭제했어요
2,2,2019-08-14 05:45:29,"{'id': 13870673, 'body': '고객님 소중한 피드백 감사합니다. 앞으로도 편리하게 이용하실 수 있도록 치타처럼 빠르게 배달해 드리겠습니다!\n', 'modified': '2020-03-05T09:23:54Z'}",아니 이렇게 하면 남는게 있긴합니까? 떡볶이를 15분만에 받아서 먹었습니다;;;;; 최소주문금액같은것도 없어서 단돈 7000원에 떡볶이에 튀김에 음료수까지 시켜먹었어요 기사님이 어디위치에 있는지 실시간으로 다보이기까지해요 이건 정말 사기 아닙니까? 로켓배송에 새벽배송에 이젠 배달까지 진짜 도대체 언제까지 저를 감동먹일생각이냐고요;;;;; 여러분들 이거 제발 이용하세요 제발,5,False,진짜 쿠팡안되겠네요
3,3,2023-07-24 07:42:35,"{'id': 37910299, 'body': '안녕하세요, 쿠팡이츠 입니다.\r\n \r\n먼저 쿠팡이츠 APP을 이용하시는 과정에 불편을 드리게 된 점 사과 말씀 드립니다. \r\n \r\nAPP 사용 시 개선이 필요한 점에 대하여 말씀하여 주신 고객님의 의견을 담당 부서로 공유하여 점검하며 보다 편리한 APP으로 이용하실 수 있도록 개선해 나가겠습니다.\r\n \r\n앞으로도 많은 관심 부탁 드립니다.\r\n \r\n감사합니다. \r\n \r\n- 쿠팡이츠 드림 -', 'modified': '2023-07-26T08:56:51Z'}","가게 페이지 들어가면 메뉴랑 메인 사진 사이에 자석처럼 넘어가는 구간 왜 만든겁니까? 사람마다 화면에서 눈을 두고 보거나 터치하는 위치가 다 다른데, 살짝만 올려서 첫번째 메뉴나 메뉴 카테고리 만지려고 하면 앱에서 지정한 위치까지 스크롤 되는 동안 기다려야 하는 느낌이 너무 불쾌합니다. 경쟁 어플에 비해 회원 추가할인이니 한집배달이니 장점이 많은데도 이 느낌이 너무 싫어서 배민으로 넘어가려는 생각이 자꾸 듭니다. 편하지도 않고 심미적으로 도움도 안되는 기능을 왜 고집하는지 모르겠네요.",2,False,자동스크롤 너무싫음
4,4,2023-09-09 05:45:42,"{'id': 38841625, 'body': '안녕하세요, 쿠팡이츠 입니다.\r\n\r\n먼저, 쿠팡이츠를 이용해 주시는 과정에 배달로 인한 불편함을 드리게 되어 대단히 죄송합니다. \r\n\r\n현재 문제가 발생된 부분에 대해 어떤 상황에서 발생된 문제인지 여부가 파악되지 않아 상세한 답변을 드리기는 어려우나, 동일한 사례를 기반으로 내부적으로 개선할 수 있는 부분이 있을지 고민하고 고민하도록 하겠습니다. \r\n\r\n앞으로도 많은 관심 부탁드립니다. \r\n건강 조심하시고 매일 매일 행복하세요.\r\n\r\n감사합니다. \r\n\r\n- 쿠팡이츠 드림 - ', 'modified': '2023-09-11T08:35:21Z'}",전에도 배달 지연 된 적이 있었는데 지연이라는 표시도 안뜨고 시간만 늘어나 있어서 정말 황당했었습니다 그 땐 그래도 10분 정도여서 참고 배달지연 쿠폰받고 넘겼는데 30분씩 지연되는건 정말 뭐하자는건가요……세이프 배달이라는 걸 감안해도 배달비를 아예 안내는 것도 아닌데 배달하는데 1시간이나 걸리는건 좀 너무하지 않나요? 문의도 쿠폰받거나 취소하라는 식으로 대응을 해버려서 어이가 없었습니다 게다가 배달하신분도 업무가 너무 많다보니 다른 건물에다 음식을 놓고 가시는 실수를 하셨습니다 소비자 입장에서 이걸 어디에다 말을 해야할지 난감해서 일단 여기에다 글 쓸게요 배달하시는 분들 정원을 늘리시든지 좀 더 실질적인 대책을 세워주셨으면 합니다,1,False,요즘 왜 이러시나요
5,5,2021-11-21 14:56:17,,그 동안 잘 쓰다가 비가오는 날에 밤에 피자를 시키는데 이츠 배달을 전부 일반인 분들이 하시니까 비가오는 날엔 아무도 이츠배달기사를 안하려고 하시겠죠 ... 근데 생각해보면 당연한건데.. 비가오는 위험한 날에 차선도 안보이는데 배달하다가 사고나면 일당 받는거보다 사고 처리비가 더 많이 나오는건 상식이고... 배달을 아무도 안하니 하루종일 기다려도 음식은 오지않네요 답답해서 가게랑 통화를 해보니 음식은 완료됬는데 기사님이 안오니 사장님도 방법을 몰라서 .. 고객센터에 계속 통화 하시는데 전화는 받지도 않고 ... 이츠기사님이 오기전까진 배달가야하는 집 주소도 배달받는 사람 번호도 모른다고 하시네요.. 사장님은 잘못이 없는데 죄송하다는 말뿐이네요.. 어플을 써보면서 느낀점은 개발자분들이 많이 고민하고 고생하셔서 만드셨겠지만.. 시스템 기획을 좀 잘못 하신거 같아요 ^^ 매장에서 음식 수락하면 결제 취소도  안되고 고객센터 전화해도 전화를 받지도 않고.. 시스템에 결점이 너무 많네요.. 진짜 리뷰 이런거 귀찮아서 안쓰는데 이건 너무 어이가 없어서 써요;;; 앞으로 개선되길 바라겠습니다..,1,False,배달이 안오네요 ^^
6,6,2023-08-30 13:20:56,"{'id': 38656065, 'body': '안녕하세요, 쿠팡이츠 입니다.\r\n \r\n먼저 쿠팡이츠 APP을 이용하시는 과정에 불편을 드리게 된 점 사과 말씀 드립니다. \r\n \r\nAPP 사용 시 개선이 필요한 점에 대하여 말씀하여 주신 고객님의 의견을 담당 부서로 공유하여 점검하며 보다 편리한 APP으로 이용하실 수 있도록 개선해 나가겠습니다.\r\n \r\n앞으로도 많은 관심 부탁 드립니다.\r\n \r\n감사합니다. \r\n \r\n- 쿠팡이츠 드림 -', 'modified': '2023-09-01T06:45:29Z'}",세이브배달 할인금액을 왜 음식 금액에서 차감하는지 알 수가 없네요 중간에서 환불 진행하는 상담원에게 괜히 화가나서 대꾸도 하기 싫었어요 세이브 배달할인은 근처 배달을 함께 오면서 조금 저렴한 배달비로 이용하는 거 아니었나요? 음식에 문제가 생겨 부분취소한다고 했다가 다시 전화해서 부분 취소 안된다고 쿠폰 준다고 하는데 음식 금액이 이상해서 말했더니 와우 할인 금액 정도만 쿠폰 발급 진행하겠다그래서 기다렸더니 또 다시 전화해서는 세이브 할인도 음식값에 포함되는 금액이라며 그 금액 조차 빼고 쿠폰발급을 하겠다는 말이 도저히 이해가 되지 않네요 그러면 애초에 ‘세이브배달 할인’이 아니라 ‘음식값 할인’이라고 하셨어야죠 뭐하는 시스템인지 알 수가 없네요 진짜,1,False,세이브 배달 환불? 어이없어서 진짜
7,7,2021-12-30 03:28:15,,"한집배달 절대 아니고요 치타배달도 아니네요
시켰더니 집이랑 반대방향으로 가서 다른 집 들렀다 오는 일 매우 흔한데 이게 어떻게 한집배달인가요ㅋㅋㅋㅋ
배달 파트너 배정도 안돼서 거의 한시간을 배달파트너 배정만 기다렸네요ㅋ 고객센터에 문의하려고 해도 1대1 문의 남긴건 결국 음식이 올때까지 답도 안오고, 고객센터로 전화연결도 안되네요 4번넘게 전화했다가 화나서 여기다 리뷰 남겨요",1,False,최악이네요
8,8,2023-07-17 03:55:19,"{'id': 37766217, 'body': '안녕하세요, 쿠팡이츠 입니다.\r\n\r\n먼저, 쿠팡이츠를 이용해 주시는 과정에 불편함을 드리게 되어 대단히 죄송합니다. \r\n\r\n고객님께서 불편사항의 개선이 필요하거나 도움을 받고자 청 할 수 있는 창구는 고객센터임으로 고객님의 입장에서 보다 적극적인 상담으로 긍정적은 효과를 드렸어야 하나 불편을 드린 것 같아 송구스럽습니다. \r\n\r\n고객님께서 만족스럽지 못한 경험을 한 사실에 대하여 담당부서로 공유하며, 100% 만족을 드린다는 확답을 드리지는 못하더라도 서비스 품질 향상에 힘 쓰도록 노력할 것을 약속드리겠습니다. \r\n\r\n다시 한번 사과의 말씀을 전하며, \r\n\r\n오늘도 행복한 하루가 되길 바라겠습니다.\r\n감사합니다. \r\n\r\n- 쿠팡이츠 드림 - ', 'modified': '2023-07-19T08:59:02Z'}",쿠팡이츠 걍 거르시면 될 듯 쿠팡이츠로 처음 주문해봤는데 배달 파트너인가 뭔가 그 시람은 자기 사고 났다고 전화하고 띡 끊어서 배달 30분 이싱 지연됐고 고객센터에 문의하니까 뭐 가게랑 연락도 안 해보고 가게에서는 음식 새로 만들어서 자체 배달기사 연결해서 보내준다고 이러는데 고객센터는 계속 배달 기사 새로 배정해준다 이 밀만 반복하고 이게 뭔가요? 그냥 실망이네요 다시는 안 쓸 듯 ㅋㅋㅋㅋㅋ,1,False,걍 거르세요
9,9,2022-08-28 14:11:54,,주문한 음식점이랑 집이랑 버스 두정거장 거리 오토바이로 바로오면 5분이면 충분히 올 거리인데 도대체 몇군데를 들렀다 오는건지 .. 피크타임이었다면 이해할수있겠는데 그것도 아니었고. 100%한집 배달이라고 광고 그렇게 때려놓고 정작 그 핵심인 배달기사 관리는 안하는건가요? 한집 배달이라는 장점때문에 쿠팡이츠 쓰는데 이런식이면 더이상 사용할 이유가 없네요,1,False,100% 한집 배달 다 허위광고였네
