,,,,,,,,Unnamed: 0,date,review,rating,isEdited,title,userName
0,2023-09-11 06:48:09,오픈채팅방과 일반 채팅방이 나눠져있는 것 처럼 채팅창 안에서도 분류할수 있는 목록을 만들어주셨음 합니다. 광고와 친구들과의 톡방,, 대학 채팅방등 다양한 방들이 섞여서 찾기도 힘들고 고정은 5개 밖에 되지 않아 중요한 방들은 한눈에 볼 수 없어서 불편함이 많이 있습니다. 2년 전 리뷰에도 저와 같은 내용의 리뷰를 작성하였고 다른 분들도 이런 점에 불편함을 느끼는 것 같은데 부디 꼭 참고하여 새로운 기능으로 만나뵈었으면 좋겠습니다! 그리고 목록의 이름을 사용자가 정하고 어떤 채팅방들을 분류할지도 사용자가 정할 수 있는 그런 기능이었으면 좋겠습니다..! 제발..ㅠ 이거 해주시면 너무 편하게 사용할 수 있을것같아요..ㅠㅠㅠ,4,False,채팅창 나눔,,폴더화,카톡본사 이거 확인 좀,,,,
2,2023-09-23 16:05:01,예전에 있던 글씨체들이 없어져서 좀 곤란해요,,,, 전 깔끔하고 튀는 걸 좋아해 아이폰 유저가 된 이후로 네온사인체를 사용했습니다 그 말고도 다른 글씨체들도 많이 썼구요 근데 어느 날 부턴지 네온사인체를 포함해 글씨체들이 사라지더군요ㅜㅜ 다시 네온사인체를 사용할 수 없는 건가요? 아니면 다시 추가해 주세요 정말 간곡히 부탁드립니다 그리고 오픈채팅 공지 제한수도 조금만 더 늘려주세요! 전에 오픈채팅 방을 운영했는데 번거롭긴 했습니다ㅜ,4,False,제발요제발,ddjehfhedfjhideigcyhgf,,,,
3,2023-09-25 02:20:08,"카카오톡은 카카오톡 자체로 메신저기능에 의의가 있다고 생각합니다. 대화창 내 선물하기,, 이모티콘,, 정산기능,, 투표 등등 정말 효과적이고 다양한 기능들은 만족스럽지만 점점 광고가 너무 많아지고 도대체 ‘펑’이딴건 왜만드시는지,,,,
인스타,, 유튜브로 넘쳐나는 일상공유면 충분합니다. 카카오톡에서 대화와 관련성 없는 기능과 광고는 제발 멈춰주세요ㅠ",5.0,False,‘펑‘같은 쓸데 없는거 줄이고 메신저 기능에 충실해주세요ㅠ,Kkyum3162,,,,,,,,
4,2023-09-15 15:50:42,스마트폰을 처음 구입한 뒤부터 쭉 카카오톡을 사용하며 편하게 생활하고 있습니다. 다만 한 가지 불편한게 있다면 현재 아이폰의 알람음 설정에 진동음이 없다는 것 입니다. 스마트폰을 소리로 해두어 벨소리는 듣고 싶지만 다른 알람음이 울리는걸 평소에 선호하지 않는 편이라 상당한 불편함을 느끼고 있습니다. 개발자님 부탁드립니다. 아이폰도 알람음 진동 추가해주십시오.,5.0,False,ios 기능 추가 희망,운눔,,,,,,,,
5,2023-09-17 01:00:50,"그룹챗들이 많아서 폴더로 정리 되는 기능이 있으면 좋을 것 같아요~ 카톡하면서 챗들이 많으면 내가 들어가고 싶은 방 찾을 때 계속 찾아야 하고 없어졌나 이런 생각 하게 되더라구요 
너무 많다 보니 지저분해 보이는경우가 많을 때가 있어 폴더로 정리하면 더 쉽게 찾아볼 수 있을 수 있는 기능들을 있으면 좋을 것 같습니다 항상 애써주셔서 너무 감사합니다
카카오 화이팅요🤞",5.0,False,업그레이드를 하면 🙂 좋네요,iOS 8이후,,,,,,,,
6,2023-08-13 23:17:51,"편리하게 잘 사용하고 있습니다.
한가지 요청은,, 얼마 전부터 생긴 친구 목록 위 동영상 광고를 제발 없애셨으면 합니다. 광고까지는 이해하지만,, 동영상은 눈에도 머리에도 부담이 됩니다. 카톡은 자주 봐야 하기에,, 아침에도 밤에도 강제로 영상을 보게 되는 것이 고역이고요. 특히 청소년들의 경우 sns 중독으로 부모와 교사,, 심리치료사,, 정신과 의사 등등 고생하고 있는데,, 카카오톡까지 자동재생 광고를 넣어 카톡을 여는 순간 주의력을 앗아 버리니 심히 걱정됩니다.
서비스 제공 노고에 감사 드리며,, 첫 화면 동영상 광고 도입은 부디 제거 바랍니다. 이 문제 때문에 자극을 줄이기 위해서라도 다른 메신저앱을 사용해야 하나 고려하게 됐습니다. 카카오톡에 머무르고 싶습니다.",4.0,False,자동 재생되는 동영상 광고,helloworld2018kgl,,,,,,,,
7,2021-03-12 15:43:47,"채팅방을 폴더화해서 분류할 수 있는 기능이 추가된다면 훨씬 편리할 것 같습니다. 저처럼 대학생의 경우 동아리나 대외활동의 모임은 카카오톡으로 주로 이루어지는데,, 하나의 단체에서도 공지방,, 전체단톡방,, 팀별 단톡방,, 수금방 등 여러 개의 채팅방이 생성됩니다. 현재 채팅방 고정기능이 있긴 하지만 최대 5개의 제한이 있는 점,, 순서 설정에 어려움이 있는 점 등 아쉬운 부분이 많습니다. 

채팅방 폴더기능을 도입하여 여러 채팅방을 한 폴더로 묶어 정리할 수 있도록 해주시면 많은 사용자분들이 분명 더욱 편리함을 느끼실 거라 생각합니다. 예를 들어 직장 관련 채팅방들,, 기타 모임별 채팅방들,, 지인과의 채팅방들,, 가족들과의 채팅방들 처럼 사용자가 직접 채팅방 폴더명을 지정하고 분류하는 방식을 제안드립니다. 현재 1:1 오픈채팅을 생성하면 해당 오픈채팅창 안에 대화상대별로 표시되는 것과 유사하게 구성하면 될 것 같습니다!",5.0,False,채팅방 폴더기능 도입해주세요,이르뢁,,,,,,,,
8,2022-12-12 03:38:59,근데 상대가 번호로 저를 추가했을때 제가 승인이나 거절을 할수 있는 기능이 있으면 좋겠네요. 가끔가다 추천친구 뜨는거보면 아예 모르는 사람이 있는 경우도 있고(번호를 잘못저장한 경우) 쇼핑몰에서 임의적으로 동의없이 번호 저장해서 뜨는 경우도 있는데 그럴때마다 차단하고 프로필 비공개 하긴 하지만 추가된시점에서 이미 다 공개가 되는 꼴이라 너무 찝찝하고 기분이 안좋네요. 프로필도 엄연한 개인정보잖아요. 그 부분은 개선이 되었으면 합니다.,5.0,False,잘 쓰고 있어요,rosie_seo,,,,,,,,
9,2021-08-04 18:33:48,프로필 업데이트하면 상단에 뜨는 거 제발 없애거나 생일 알림처럼 설정에서 선택할 수 있게 하면 안 될까요 프사 바꿀 때마다 알리고 싶지도 않고 다른 사람들 프사 바꾸는 것도 안 궁금해요 저랑 친하지도,, 보고싶지도 않은 사람들 프사 바꿀 때마다 확인해야 되나요 조용히 프사 바꿀 수 있는 점이 좋았는데 페북이나 인스타 같은 SNS도 아니고 왜 강제 TMI를 하게 하시나요ㅜㅜ 카톡 정말 잘 쓰고 있어요 설정에서 선택할 수 있게만 하면 너무너무 좋을 것 같아요 수정 부탁드립니다 제발요ㅠㅠㅠㅠ🙏🏻🙏🏻🙏🏻,5,False,프로필 업데이트,스타일 추가해주세여,,,,,,
10,2023-09-22 03:26:45,"업무중에 제뒤로 사람이 와서 제 pc볼때 마지막메세지 보이는거 너무 불편해요..
개인카톡으로 남들한테 보여주기싫은 메세지를 작성했을수도있잖아요? 비밀채팅방을 매번 만들기도 번거롭고..
그냥 마지막 메세지만 안보였음 좋겠는데..방법없겠죠",5.0,False,PC에서 채팅장 켰을때..,칠리핬,,,,,,,,
